barcode_id,nama_produk,image_url,status
89686010019,Indomie Kuah Ayam Bawang,https://i5.walmartimages.com/seo/Indomie-Halal-Certified-Original-Flavor-Mi-Goreng-Instant-Stir-Fry-Noodles-15-oz-5-Pack-Bag_5b36a7c5-dcb8-4471-8126-f8d9994e27e6.9cd9316aff157b0426c456464ebc7572.jpeg,BERHASIL
89686010026,Indomie Kuah Kaldu Ayam,https://m.media-amazon.com/images/I/71Nl08OpxkL.jpg,BERHASIL
89686010033,Indomie Kuah Kari Ayam,https://m.media-amazon.com/images/I/71sFkQaTeQS.jpg,BERHASIL
89686010057,Indomie Kuah Soto Mie,https://m.media-amazon.com/images/I/715I91-M0CL.jpg,BERHASIL
89686010064,Indomie Kuah Soto Spesial,https://cdn.statically.io/img/foodbybox.com/wp-content/uploads/2023/07/Soto-Mie-Commercial-2-465x465.jpg?quality=100&amp;f=auto,BERHASIL
89686011016,Indomie Mi Goreng,https://m.media-amazon.com/images/I/710yLnSkQgL._SL1200_.jpg,BERHASIL
89686011023,Indomie Mi Goreng Aceh,https://www.tokoindonesia.co.uk/wp-content/uploads/2020/08/Indomie-mie-goreng-aceh.png,BERHASIL
89686011030,Indomie Mi Goreng Pedas,NOT_FOUND,GAGAL
89686011047,Indomie Mi Goreng Rendang,NOT_FOUND,GAGAL
89686011054,Indomie Mi Goreng Sate,NOT_FOUND,GAGAL
89686011061,Indomie Mi Goreng Spesial,NOT_FOUND,GAGAL
89686043130,Indomie Hype Abis Ayam Geprek,https://www.tokoindonesia.co.uk/wp-content/uploads/2020/02/hype-abis.png,BERHASIL
89686590043,Chiki Balls Crafty Cheese,https://www.tokoindonesia.co.uk/wp-content/uploads/2020/09/chiki-balls.png,BERHASIL
89686591019,Chiki Balls Curious Choco,https://cdn.shopify.com/s/files/1/0312/5883/7051/products/ChikiTwist-RoastedCornChips_75g_1000x1000.png?v=1666249234,BERHASIL
89686598018,Chitato Sapi Panggang,https://as2.ftcdn.net/v2/jpg/05/30/55/73/1000_F_530557319_4HUWZPdWEG3ZKWnZCjSfWqWGyXVMLMcJ.jpg,BERHASIL
89686621034,Lays Rumput Laut,https://i5.walmartimages.com/asr/f81d57b1-c425-4f9e-a09c-e178fca8dbc0_1.8a045f9d5beec65df342502c06112c80.jpeg,BERHASIL
89686732009,Chitato Lite Rumput Laut,https://m.media-amazon.com/images/I/71zIRowrYvL.jpg,BERHASIL
89686821086,Ichi Ocha Teh Melati,https://image.indotrading.com/co175134/companygallery/721eb9d2-ef59-4723-888d-9b9536c738f6.jpg,BERHASIL
7622210355462,KRAFT All in One,https://www.packsend.com.au/media/obslijob/product-packaging-layers.webp,BERHASIL
7622210431357,KRAFT Cheddar,https://www.mawolatraders.com/wp-content/uploads/2021/04/12267963-01-scaled.jpg,BERHASIL
7622210431371,KRAFT Quick Melt,https://lokerserang.com/wp-content/uploads/2025/05/PT-Gemilang-Packaging-Indonesia.jpg,BERHASIL
8850127002013,KitKat 4 Finger,http://static.independent.co.uk/s3fs-public/thumbnails/image/2016/01/20/12/KitKat-Four-finger.jpg,BERHASIL
8886001026025,Astor Chocolate,https://static.india.com/wp-content/uploads/2021/09/IMG-0143.jpg,BERHASIL
8886013700104,GEMEZ Enaak Snack Mi,https://down-id.img.susercontent.com/file/id-11134207-7r98v-ls6in9vbxl4kff,BERHASIL
